wb_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Japan,341.99840261033125,347.7887522039353,343.1726419264313,353.2748903958107,354.66446738881217,354.3760612662642,356.4243513926621,350.7581433627633,360.2072034879575,337.1877211302348,317.3051833417892,331.0508256390318,344.3949066467047,353.76265239198904,357.94463679516747,345.3849916256312,337.69899506669253
Jordan,3.9730000000000003,4.229,4.364,4.605,4.763999999999999,5.247000000000001,5.742999999999999,5.76,6.0089999999999995,5.822,5.97,5.776,5.909,6.779,6.7650000000000015,6.959052388284242,6.991163713990344
Kazakhstan,31.24270247461791,37.72047453258434,35.743455221615726,40.56808414219433,44.979632516921384,47.15296930840611,50.5751493003821,56.459506372734715,58.104319951473805,57.892712683679036,56.67092218313319,63.51174207532751,61.07109787145197,61.88862783564411,63.87321500949781,66.55143944743945,64.2230498967075
Kenya,2.7739999999999996,2.841,2.555,2.173,1.8419999999999999,2.079,2.335,2.611,2.681,2.793,3.3680000000000003,3.3200000000000003,3.67,3.4130000000000003,3.627,3.7069833269481696,3.7525944449691737
Kiribati,0.008,0.009000000000000001,0.006999999999999999,0.011000000000000001,0.011000000000000001,0.012,0.017,0.019,0.013999999999999999,0.015,0.011000000000000001,0.017,0.017,0.017,0.017,0.01814608066923355,0.018339261312755387
Kuwait,14.732,14.606,15.719,15.879000000000001,16.340999999999998,17.326,19.511,20.117,20.517,22.561,23.808000000000003,24.441,24.824,27.583,26.714,26.72092528571038,27.72979825380278
Kyrgyz Republic,1.274,1.264,1.062,1.3519999999999999,1.483,1.6019999999999999,1.47,1.4480000000000002,1.547,2.089,1.8519999999999999,1.7409999999999999,2.088,2.76,2.6839999999999997,2.6184167875735693,2.689473093668182
Lao PDR,0.253,0.256,0.238,0.314,0.3,0.38,0.38299999999999995,0.423,0.248,0.258,0.34299999999999997,0.447,0.44299999999999995,0.589,0.593,0.6175388707164755,0.6265333613294698
Latvia,2.1022108215977253,1.9295106959460848,2.042797970539098,2.050670881560853,2.104393262501131,2.107259313605502,2.1278559626755134,2.2635305001186588,2.3515524774275014,2.23494682499623,2.0315228296923364,2.3275484900286973,2.1248544631319746,2.0471282525306376,2.001089715367192,1.948420136876722,1.9792874157904543
Lebanon,4.497,4.158,4.41,4.364,4.958,4.581,4.42,3.943,3.677,4.699,5.694,5.468999999999999,5.577000000000001,6.1739999999999995,6.1579999999999995,6.330575270479091,6.330937321903748
Liberia,0.10800000000000001,0.11599999999999999,0.135,0.134,0.14300000000000002,0.168,0.19899999999999998,0.204,0.183,0.154,0.141,0.217,0.244,0.281,0.261,0.2594425666944347,0.2647542788818996
Libya,12.168,12.847999999999999,13.117,13.044,13.408,13.732999999999999,14.21,14.527,13.624,15.124,15.997,16.73,10.742,14.289000000000001,13.919,14.172383126617756,14.794846808289455
Lithuania,3.6632508587820762,3.2210602889388515,3.4137463632926,3.4428015854210585,3.4402942690098395,3.598660853035529,3.8064640565637737,3.9036661245668753,4.264212974819872,4.083857728236469,3.4735589618504434,3.7169521464309083,3.7988579417212422,3.8142803531565987,3.5447100249649517,3.4751088601804074,3.4893853503518386
Luxembourg,2.185470640412692,2.406964021199931,2.546812543676188,2.753485277410668,2.8561081669260653,3.2456123148232363,3.3160974739159466,3.2783951284297936,3.115435365153664,3.072716220815797,2.931268603070465,3.0825109714757617,3.0512794999190493,2.9700663371490896,2.8125769151880613,2.682840995284816,2.718883585415901
"Macao SAR, China",0.418,0.446,0.46,0.416,0.419,0.471,0.501,0.445,0.42100000000000004,0.625,0.722,0.541,0.643,0.62,0.591,0.6319021585290164,0.6401739876743022
"Macedonia, FYR",3.197,3.29,3.272,2.9819999999999998,3.0839999999999996,3.052,3.076,2.983,2.589,2.5639999999999996,2.372,2.346,2.56,2.444,2.262,2.164947259554875,2.250889923155578
Madagascar,0.523,0.511,0.475,0.337,0.46399999999999997,0.493,0.475,0.45899999999999996,0.495,0.515,0.483,0.534,0.631,0.727,0.8390000000000001,0.945305486951584,0.9406527500224044
Malawi,0.262,0.244,0.243,0.24100000000000002,0.261,0.266,0.25,0.26,0.256,0.299,0.27399999999999997,0.325,0.324,0.308,0.34700000000000003,0.36557938828714814,0.3683740170141517
Malaysia,29.434,34.288000000000004,36.984,36.472,43.157,44.676,47.583,45.733,50.4,55.64,54.214,59.57899999999999,60.105,59.641999999999996,64.497,65.20585312398049,67.88643309975889
Maldives,0.115,0.12300000000000001,0.126,0.162,0.138,0.182,0.16399999999999998,0.207,0.213,0.23,0.24100000000000002,0.245,0.26,0.294,0.28600000000000003,0.3052811218471056,0.3085311020851789
Mali,0.217,0.22399999999999998,0.226,0.231,0.23,0.239,0.245,0.257,0.275,0.292,0.22,0.263,0.28500000000000003,0.271,0.28,0.2781521977730581,0.2844542291819148
Malta,0.6600861257125239,0.6589202541525633,0.6961255624547504,0.6725470058498184,0.7276567481602951,0.7109019737521465,0.7468102984675694,0.7577277037952731,0.7728281290082604,0.7703073599632059,0.7326750253859095,0.7343116908311783,0.7603429499064472,0.78292525331421,0.6757845057576196,0.677821175341347,0.6828361356015157
Marshall Islands,0.018000000000000002,0.021,0.022000000000000002,0.023,0.023,0.024,0.023,0.025,0.027000000000000003,0.027000000000000003,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.02988766227873761,0.030205842162185345
Mauritania,0.313,0.32,0.34700000000000003,0.368,0.379,0.419,0.433,0.439,0.503,0.528,0.579,0.61,0.653,0.7240000000000001,0.722,0.7178160478147102,0.7320856475047642
Mauritius,0.662,0.7340000000000001,0.7809999999999999,0.787,0.835,0.843,0.899,0.99,1.006,1.028,1.008,1.068,1.069,1.11,1.016,1.1746844054915164,1.1633722391593715
Mexico,104.338,104.311,107.891,106.861,110.695,112.29,118.745,121.432,125.134,129.395,122.875,121.397,127.292,131.138,133.243,131.168559883197,128.82249686003402
Mongolia,2.06,2.0469999999999997,2.15,2.26,2.191,2.332,2.335,2.562,3.29,3.283,3.573,6.7250000000000005,7.522,8.925,11.342,12.039260055545393,12.343542164976457
Montenegro,0.4269931070360255,0.474291195213942,0.5096273897776044,0.5448367798153206,0.5825822603719599,0.6365587202497075,0.6935784887501626,0.65,0.614,0.75,0.498,0.7040000000000001,0.7010000000000001,0.637,0.613,0.5856902984248541,0.6103301629248059
Morocco,9.041,9.246,10.285,10.432,10.243,11.811,12.482,12.933,13.708,14.425999999999998,14.312,15.26,15.731,17.105,15.969,17.091289990487596,17.267704244454738
