,year,country_code,renewable energy share 2000-14,household expenditure 2015,merchandise imports 2000-15,imports of goods and services,industry value added 2000-15,electricity access 2014,urbanization rate,employment ratio,natural resource rents,life expectancy,net migration,women in parliament,internet use
1788,2012 [YR2012],FSM,1.5939720879351,,193645000.0,,24949720.670391068,68.0082015991211,22.317,,0.0305472918606606,68.85070731707319,-8192.0,0.0,25.9744230029883
1789,2013 [YR2013],FSM,1.43785576751379,,187692000.0,,19787709.497206707,69.8510360717773,22.342,,0.0280398853672929,68.97339024390244,,0.0,27.8
1790,2014 [YR2014],FSM,1.32089436287164,,215000000.0,,14134078.212290501,71.6941604614258,22.378,,0.0397610005883272,69.10107317073171,,0.0,29.65
1791,2015 [YR2015],FSM,,,240000000.0,,13273743.016759777,,22.424,,0.0362940064515904,69.23424390243903,,0.0,31.501081275309
1792,2000 [YR2000],MNG,5.71347142751696,,615000000.0,67.88985828834646,1362303024.558492,67.3,57.133,58.0279998779297,7.94131946785031,62.9138780487805,,10.5,1.25565200358112
1793,2001 [YR2001],MNG,6.07488987621891,,638000000.0,65.49998588687535,1536261326.38369,74.0353546142578,58.222,57.9620018005371,7.45313946910093,63.37636585365854,,10.5,1.65323823906982
1794,2002 [YR2002],MNG,6.50019820098251,,690700000.0,67.79063713550232,1589393432.9662168,74.8938140869141,59.304,56.7809982299805,6.62851417557066,63.84182926829269,-15001.0,10.5,2.0395726034818
1795,2003 [YR2003],MNG,6.07998711138483,,801000000.0,67.94734398193548,1694937454.262015,76.3,60.378,56.0909996032715,8.33171265187504,64.29626829268294,,10.5,
1796,2004 [YR2004],MNG,5.74470726677967,,1021100000.0,70.54154331460418,1953538136.9270332,76.6045989990234,61.443,58.0009994506836,19.0924773465237,64.7349512195122,,6.8,
1797,2005 [YR2005],MNG,5.32177264739974,895.5093232754258,1184300000.0,63.612076096312705,2035941273.5888636,86.2,62.494,58.2649993896484,21.5691785173889,65.16692682926829,,6.7,
1798,2006 [YR2006],MNG,4.46178743171461,989.9550169182987,1485600000.0,53.4867180194267,2164060116.4670234,78.3331909179688,63.535,58.4539985656738,35.0750935693328,65.60609756097561,,6.6,
1799,2007 [YR2007],MNG,4.68248383165042,1156.3629468548243,2117300000.0,58.26597799322904,2315994546.0328293,79.2129669189453,64.564,56.2400016784668,32.2028442733087,66.06817073170733,-15001.0,6.6,9.0
1800,2008 [YR2008],MNG,4.62896402557333,1394.6770830047165,3615800000.0,67.18097748415224,2297712184.8346314,80.1032485961914,65.581,55.7210006713867,35.0079233319604,66.5599268292683,,4.2,9.8
